title,rating
"Anna: the Pleasure, the Torment",1.625
Cast a Giant Shadow,1.625
From the Sea to the Land Beyond,1.625
Inside Out,1.625
The Peacekeeper,1.625
The Secretary,1.625
There Will Come Soft Rains,1.625
The Mortal Instruments: City of Bones,1.6428571428571428
Mosquita y Mari,1.65625
A Bullet for Pretty Boy,1.6666666666666667
People of a Feather,1.6666666666666667
Revolution,1.6666666666666667
Supernatural,1.6666666666666667
The Muthers,1.6666666666666667
The True Meaning of Christmas Specials,1.6666666666666667
They Rode West,1.6666666666666667
The War Is Over,1.6688311688311688
I Heart Huckabees,1.6742424242424243
Musical Chairs,1.6785714285714286
How Much Do You Love Me?,1.6875
And the Band Played On,1.6944444444444444
The King of Fighters,1.7
Same Old Song,1.702365308804205
A Bullet for a Stranger,1.7142857142857142
Fighting Elegy,1.7145833333333333
The Black Balloon,1.7169811320754718
What Lies Beneath,1.732484076433121
Flesh for Frankenstein,1.7326530612244897
White Material,1.7333333333333334
Visitor Q,1.7411847672778562
Backstage,1.75
Bikini Summer,1.75
Cocaine Cowboys II: Hustlin' with the Godmother,1.75
Diaries Notes and Sketches,1.75
For the Matches,1.75
Genius on Hold,1.75
Gorilla Bathes at Noon,1.75
Haute Cuisine,1.75
Imaginary Witness: Hollywood and the Holocaust,1.75
Karaoke Terror,1.75
"Nana, the True Key of Pleasure",1.75
"Nana, the True Key of Pleasure",1.75
Our Daily Bread,1.75
Pathetic Fallacy,1.75
Samay: When Time Strikes,1.75
Scorpio One,1.75
Skyjacked,1.75
The Dancemaker,1.75
The Man with a Cloak,1.75
The Story of Sin,1.75
The Wild East,1.75
The World According to Dick Cheney,1.75
Watch Your Left,1.75
Hibernatus,1.7592295345104334
Ballad,1.7666666666666666
Our Mother's House,1.768018018018018
"Good Night, and Good Luck.",1.7692307692307692
Vive la France,1.7777777777777777
The Hands of Orlac,1.782991202346041
Land of Plenty,1.7943327239488116
Aurinkotuuli,1.8
Don Giovanni,1.8
Keep Your Distance,1.8
The Quiet Room,1.8
Standard Operating Procedure,1.8018867924528301
Casper,1.8035714285714286
Butch Cassidy and the Sundance Kid,1.8076923076923077
To the Sea!,1.80859375
"The Karate Kid, Part II",1.8103448275862069
The MacKintosh Man,1.8114035087719298
In Bed,1.8116370808678501
El robobo de la jojoya,1.8125
The Prince and the Pauper,1.8214285714285714
A Quiet Place to Kill,1.8333333333333333
Blue in the Face,1.8333333333333333
Entertaining Mr. Sloane,1.8333333333333333
Giovannona Long-Thigh,1.8333333333333333
Her,1.8333333333333333
How Beer Saved the World,1.8333333333333333
Loose Ankles,1.8333333333333333
Lore,1.8333333333333333
Next of Kin,1.8333333333333333
Scenic Route,1.8333333333333333
The Gospel of Judas,1.8333333333333333
The Machine,1.8333333333333333
The Other Son,1.8333333333333333
The Reunion,1.8333333333333333
Triple Tap,1.8362068965517242
Zatôichi and the Doomed Man,1.8378995433789955
Lissi and the Wild Emperor,1.8394160583941606
Be Cool,1.8571428571428572
Virtual Sexuality,1.8580901856763925
Shrek the Third,1.8581809657759025
Tough and Deadly,1.8613707165109035
Kingdom Come,1.875
"Like Father, Like Son",1.875
Shadow of the Eagle,1.875
The Biscuit Eater,1.875
Treasure Planet,1.875
Helen,1.8760045924225028
The Bear,1.8764753764753765
I Spy,1.8780487804878048
Against the Ropes,1.8846153846153846
Dog Day,1.8925619834710743
Harlan: In the Shadow of Jew Süss,1.8928571428571428
Out of Sight,1.8959390862944163
The Detective,1.9
The Trigger Effect,1.9
Yes or No 2,1.9
The Longest Yard,1.9020100502512562
Godzilla Raids Again,1.911764705882353
Lethal Hostage,1.9137931034482758
Kill Bill: Vol. 2,1.9161603888213852
Child's Play,1.9166666666666667
Chillers,1.9166666666666667
In the Dust of the Stars,1.9166666666666667
Queen of Blood,1.925
Holy Lola,1.925634295713036
Jamon Jamon,1.9259259259259258
Dark Shadows,1.9285714285714286
Darkness in Tallinn,1.9285714285714286
Our Brief Eternity,1.9285714285714286
All Access: Front Row. Backstage. Live!,1.9375
In the Realms of the Unreal,1.9401197604790419
Les Misérables,1.9425675675675675
I'm King Kong!: The Exploits of Merian C. Cooper,1.9473684210526316
Monster-in-Law,1.9482758620689655
Love Life,1.952054794520548
Funeral Parade of Roses,1.9541129032258064
Aniskin and Fantomas,1.9545454545454546
Resident Evil: Damnation,1.9545454545454546
"Why, Charlie Brown, Why?",1.9545454545454546
Blondie Goes Latin,1.9573643410852712
Retaliation,1.9583333333333333
The Case of the Velvet Claws,1.9583333333333333
Turner & Hooch,1.9641985353946299
1984,1.970514950166113
The Golden Goose,1.9730941704035874
I Know Who Killed Me,1.9732142857142858
The Magnificent Ruffians,1.9736842105263157
Rapture,1.98
Dead Weekend,1.9801136363636365
Fool's Gold,1.9827586206896552
Abel,1.986842105263158
Wild Orchids,1.9875
The Fountain,1.9927501782743047
The Neverending Story III: Escape from Fantasia,1.994199535962877
3 Bad Men,2.0
4 Little Girls,2.0
8 Dates,2.0
A Borrowed Life,2.0
A Demon in My View,2.0
A Long and Happy Life,2.0
A Night In the Woods,2.0
A Night at the Movies: The Horrors of Stephen King,2.0
A Storm in Summer,2.0
Albatross,2.0
Andrew Dice Clay: Indestructible,2.0
Bakeneko: A Vengeful Spirit,2.0
Behind the Candelabra,2.0
Benigni,2.0
Big Miracle,2.0
Bread and Milk,2.0
Cardcaptor Sakura: The Movie,2.0
Cleopatra,2.0
Conserva Acabada,2.0
Covert Action,2.0
Daughters Courageous,2.0
Death Wish 4: The Crackdown,2.0
Dibu: La Película,2.0
Eye of the Hurricane,2.0
Face the Music,2.0
Family,2.0
Feng Shui,2.0
Fire-Eater,2.0
Fish out of Water,2.0
For Love of Ivy,2.0
"Gwen, the Book of Sand",2.0
Haunter,2.0
How I Got Into College,2.0
How to Become Myself,2.0
How to Make Money Selling Drugs,2.0
I Am a Nymphomaniac,2.0
I'll Never Forget What's'isname,2.0
Identification Marks: None,2.0
In Vogue: The Editor's Eye,2.0
Jay and Silent Bob Go Down Under,2.0
Judith of Bethulia,2.0
LOL,2.0
Leprechaun: Origins,2.0
Light Gradient,2.0
Louder Than Bombs,2.0
Lucky Partners,2.0
Magnificent Presence,2.0
Magnum Cop,2.0
Mass Appeal,2.0
Memories of Me,2.0
Midnight's Children,2.0
Monsignor,2.0
Mousey,2.0
Nemesis 3: Time Lapse,2.0
Night #1,2.0
Night Moves,2.0
Oil: A Symphony in Motion,2.0
Old Enough,2.0
Oldboy,2.0
Our Paradise,2.0
Pendulum,2.0
Quartet,2.0
Recto / verso,2.0
Return to Reason,2.0
Ripe,2.0
Rubberneck,2.0
Sabotage,2.0
Santa Paws 2: The Santa Pups,2.0
She Devils of the SS,2.0
She Wouldn't Say Yes,2.0
She's Working Her Way Through College,2.0
Sherlock Holmes: Incident at Victoria Falls,2.0
Shock Treatment,2.0
Silent Night,2.0
Such Is Life,2.0
Superman: Unbound,2.0
Supermarket,2.0
The Black Hole,2.0
The Blue Planet,2.0
The Comedian,2.0
The Deep Six,2.0
The Deerslayer,2.0
The Dream Team,2.0
The Education of Mohammad Hussein,2.0
The House of Smiles,2.0
The Human Centipede 3 (Final Sequence),2.0
The Inheritance,2.0
The Invisible Men,2.0
The Invisible Ones,2.0
The Last House on the Beach,2.0
The Legend of Bloody Jack,2.0
The Liberator,2.0
The Money Order,2.0
The Past,2.0
The Rocket,2.0
The Seven Year Hitch,2.0
The Strange Case of Alice Cooper,2.0
The Swan Princess Christmas,2.0
The Tree of Guernica,2.0
The Uninvited,2.0
The Workshop,2.0
The chosen,2.0
Trance,2.0
Venetian Bird,2.0
Whatcha Wearin'?,2.0
Wheelmen,2.0
White Bird in a Blizzard,2.0
White Tiger,2.0
White Tiger,2.0
Women Talking Dirty,2.0
Faust,2.0064102564102564
Blind Mountain,2.0088495575221237
Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland,2.0136986301369864
Germany: A Summer's Fairytale,2.017391304347826
Golden Door,2.0176415970287835
"Master, Mistress, Servant",2.0256410256410255
Stage Fright,2.0260208166533227
"20,000 Leagues Under the Sea",2.0269058295964126
Should Ladies Behave,2.0277777777777777
Michael Clayton,2.0306122448979593
Ladies vs Ricky Bahl,2.03125
Pyaar Ka Punchnama,2.033333333333333
Lara Croft Tomb Raider: The Cradle of Life,2.0341382181515404
Sideways,2.0434782608695654
Pushover,2.0448275862068965
How to Steal a Million,2.048780487804878
Abendland,2.05
Rabid Dogs,2.052863436123348
Innerspace,2.0535714285714284
Mythbusters Holiday Special,2.053719008264463
Some Girls,2.0543478260869565
An Actor's Revenge,2.0555555555555554
The Canterbury Tales,2.058201058201058
Dixie Chicks: Shut Up and Sing,2.058789289871944
Witchville,2.0588235294117645
Fear and Loathing in Las Vegas,2.0595238095238093
Clara and Me,2.0597014925373136
The Gods Must Be Crazy,2.0641025641025643
Kogel-mogel,2.0652173913043477
The Da Vinci Code,2.0694444444444446
The Prospects,2.0714285714285716
Beowulf & Grendel,2.074829931972789
Hearts of Darkness: A Filmmaker's Apocalypse,2.077777777777778
A Mighty Heart,2.0784615384615384
Sabretooth,2.0788690476190474
World of Glory,2.0816326530612246
Burn After Reading,2.0827586206896553
Cien niños esperando un tren,2.0833333333333335
Robot & Frank,2.0833333333333335
The Beast,2.0833333333333335
The War of the Robots,2.0833333333333335
Teenage Mutant Ninja Turtles III,2.0837431298814
Shaolin,2.0841584158415842
Phantom of the Paradise,2.0873015873015874
Splash,2.088235294117647
Transamerica,2.089277279168635
Room,2.0892857142857144
Superbad,2.0906666666666665
Decision Before Dawn,2.0945945945945947
The Creature Walks Among Us,2.0945945945945947
Heatseeker,2.1
Silent Ones,2.1
Terry Pratchett: Choosing to Die,2.1
Things We Lost in the Fire,2.103088803088803
Labors of Hercules,2.105427974947808
The Driver,2.1060959360426383
Larger Than Life,2.106382978723404
Letter to Brezhnev,2.1082251082251084
Goblin,2.111111111111111
Silent Wedding,2.111111111111111
The Last Page,2.111111111111111
Oscar,2.1165708311552534
L'Âge d'Or,2.117283950617284
The Return of Martin Guerre,2.1197718631178706
Esther and the King,2.125
Kidnapped,2.125
Kitchen Party,2.125
Scooby-Doo! Legend of the Phantosaur,2.125
The Human Family Tree,2.125
The Intruder,2.125
The Wayward Bus,2.125
Top Sensation,2.125
Gilda,2.132796780684105
Jackboots on Whitehall,2.1363636363636362
Fireflies in the Garden,2.1382978723404253
The Sleeping Car Murder,2.138888888888889
The Human Condition III: A Soldier's Prayer,2.141041162227603
Corpse Bride,2.1413793103448278
Blonde Crazy,2.142857142857143
The Green Years,2.142857142857143
Stargate,2.144396551724138
Animal Farm,2.1451612903225805
Zero for Conduct,2.1473214285714284
21 Grams,2.1476377952755907
On Top of the Whale,2.1481481481481484
Porn in the Hood,2.15
Topkapi,2.15
Travels with My Aunt,2.15
Un amour de femme,2.15
The Adventures of Tom Sawyer,2.1538461538461537
The Bridge on the River Kwai,2.1538461538461537
Zigeunerweisen,2.1555555555555554
The Assassination of Jesse James by the Coward Robert Ford,2.1580645161290324
Absolute Power,2.159487776484284
Copycat,2.1607142857142856
The Party at Kitty and Stud's,2.1641039236479322
An American Terror,2.1666666666666665
Angels' Alley,2.1666666666666665
Annabel Takes a Tour,2.1666666666666665
Counterpoint,2.1666666666666665
Coyote Ugly,2.1666666666666665
Design for Living,2.1666666666666665
Drinking Buddies,2.1666666666666665
Fantastic 4: Rise of the Silver Surfer,2.1666666666666665
Forgotten Tune for the Flute,2.1666666666666665
God Is Great and I'm Not,2.1666666666666665
Hôtel des Invalides,2.1666666666666665
Marriage Material,2.1666666666666665
Natural Enemies,2.1666666666666665
Pharaoh's Curse,2.1666666666666665
Prime Suspect: Scent of Darkness,2.1666666666666665
Ramin,2.1666666666666665
Slayers Return,2.1666666666666665
Tabu,2.1666666666666665
The Last of the Mohicans,2.1666666666666665
The Millionairess,2.1666666666666665
Toys in the Attic,2.1666666666666665
Voices from the List,2.1666666666666665
World Without End,2.1666666666666665
Ho visto le stelle,2.1704545454545454
"Dr. Mabuse, the Gambler",2.1715686274509802
Charlie & Boots,2.175
Death at a Funeral,2.1761363636363638
There Will Be Blood,2.178983833718245
Jezebel,2.179908076165463
The Werewolf of Washington,2.1818181818181817
Waiting for Lightning,2.1818181818181817
The Tree of Life,2.184757505773672
Invaders from Mars,2.1858974358974357
Benny & Joon,2.1863517060367452
The Testament of Dr. Cordelier,2.1875
The Brave One,2.19
Live and Become,2.1923454367026496
French Kiss,2.1930693069306932
Chances Are,2.196319018404908
The Dentist,2.197619047619048
All Quiet on the Western Front,2.2
Attack of the 50 Foot Cheerleader,2.2
Cast a Deadly Spell,2.2
Dead Creatures,2.2
In Orange,2.2
The Devil's Backbone,2.2
28 Weeks Later,2.2020315017003758
Jesus Camp,2.2058823529411766
Bambi,2.2083333333333335
Serving Life,2.2083333333333335
If I Die Before I Wake,2.2093023255813953
Zapped Again!,2.2109826589595376
Alabama Moon,2.2142857142857144
I Am Cuba,2.2142857142857144
Memorial Day,2.2142857142857144
Verlengd Weekend,2.2153846153846155
"Aquí llega Condemor, el pecador de la pradera",2.21875
An Inconvenient Truth,2.2222222222222223
Cross,2.2222222222222223
Hamlet,2.2222222222222223
Lonesome Cowboys,2.2236421725239617
Journey to Italy,2.2241379310344827
Kal Ho Naa Ho,2.225609756097561
The Wrecking Crew,2.226826608505998
Conspiracy Theory,2.230769230769231
Cool Kids Don't Cry,2.230769230769231
Flex Is Kings,2.230769230769231
Cannibal Girls,2.235294117647059
Carolina,2.2364864864864864
Nevada Smith,2.239130434782609
Wuthering Heights,2.239130434782609
California Suite,2.241509433962264
Star Trek: Generations,2.245992952142776
Ransom,2.246153846153846
$5 a Day,2.246794871794872
Dolls,2.249496981891348
27 Dresses,2.25
A BIG Love Story,2.25
A Summer in La Goulette,2.25
Across the Sea of Time,2.25
Ceddo,2.25
Charlotte Sometimes,2.25
Doomed Love,2.25
Downstairs,2.25
Ed's Next Move,2.25
Filmistaan,2.25
For Your Eyes Only,2.25
Full Moon High,2.25
Good Luck. And Take Care of Each Other,2.25
Il rosso e il blu,2.25
Josh,2.25
Juke Girl,2.25
Kathy Griffin: She'll Cut a Bitch,2.25
La Dilettante,2.25
Licks,2.25
Love Happy,2.25
Madagascar 3: Europe's Most Wanted,2.25
Me Too,2.25
Mental,2.25
No Time For Love,2.25
Noi the Albino,2.25
Rattlers,2.25
Rebound,2.25
Recoil,2.25
Silent House,2.25
Swerve,2.25
The Big House,2.25
The Brass Teapot,2.25
The Flight That Disappeared,2.25
The Glass Slipper,2.25
The Hard Man,2.25
The Long and Short of It,2.25
The Moment of Truth,2.25
The Music Box,2.25
The Sinner,2.25
The Stranger Within,2.25
The Tenth Man,2.25
Two Deaths,2.25
Unknown Pleasures,2.25
Voracious,2.25
Wavemakers,2.25
What Price Hollywood?,2.25
Wide Open,2.25
Zoo in Budapest,2.25
The Aviator,2.2583333333333333
Sunflower,2.25839222614841
Mr. Brooks,2.2587268993839835
King of the Roaring 20's: The Story of Arnold Rothstein,2.259493670886076
The Wayward Girl,2.26
The Grudge 3,2.260182584269663
The Battle for Marjah,2.260869565217391
I Now Pronounce You Chuck & Larry,2.2630480167014615
My Führer,2.263157894736842
The Cub Tiger from Kwang Tung,2.263157894736842
Blondie Plays Cupid,2.2675
Birdcage Inn,2.268041237113402
Island of Lost Souls,2.274025974025974
Planet Terror,2.2741815476190474
Slime City,2.2758620689655173
The Cure,2.2777777777777777
Bridget Jones's Diary,2.28021978021978
Stolen Kisses,2.281138790035587
Hard to Be a God,2.283582089552239
Fuzz,2.2857142857142856
Rich Kids,2.2857142857142856
The Angry Birds Movie,2.2857142857142856
The Lost Missile,2.286363636363636
Martian Child,2.2865853658536586
My Best Friend,2.2866894197952217
The Lost World,2.286764705882353
The Lizard,2.2884615384615383
Time to Leave,2.2888198757763973
Ca$h,2.2888888888888888
Harry Potter and the Order of the Phoenix,2.2903225806451615
Panic in the Skies,2.2914285714285714
First Target,2.2916666666666665
The Eleventh Victim,2.2925925925925927
Welcome to the Sticks,2.292682926829268
Je t'aime moi non plus,2.293637846655791
Predator 2,2.2960526315789473
Casanova '70,2.298611111111111
Ant-Man,2.3
Köyden İndim Şehire,2.3
Ricky Rapper and Cool Wendy,2.3
The China Lake Murders,2.3
Riding Giants,2.300423131170663
The Grim Reaper,2.3013698630136985
Body of Evidence,2.3014285714285716
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,2.3035714285714284
Toomorrow,2.3055555555555554
The Mirror Crack'd,2.306451612903226
The Boss of It All,2.307142857142857
Trash Humpers,2.3076923076923075
"One, Two, Three",2.3093525179856114
The Flintstones,2.310038119440915
Earth,2.3107549120992763
A Christmas Tale,2.311320754716981
The Marine,2.3125
The Storm Gate,2.3130841121495327
Endure,2.3142857142857145
The Bible: In the Beginning...,2.3153374233128834
"Paris, Texas",2.3157894736842106
Walk Hard: The Dewey Cox Story,2.3161764705882355
Prospero's Books,2.317258883248731
Van Gogh: Brush with Genius,2.317436661698957
Sherlock Holmes,2.3181818181818183
Fail-Safe,2.318245778611632
The Strange Case of Dr. Jekyll and Mr. Hyde,2.3183520599250937
Jonestown: Paradise Lost,2.3194444444444446
Return of the Ghostbusters,2.3201754385964914
Cleopatra Wong,2.3205128205128207
How Stella Got Her Groove Back,2.3205128205128207
A Time for Killing,2.3209302325581396
Elling,2.3214285714285716
Abraham,2.322513128853033
Le Samouraï,2.3225806451612905
Le Samouraï,2.3225806451612905
Pi,2.3261168384879727
King of California,2.326388888888889
In July,2.326839826839827
The James Dean Story,2.327272727272727
Anna and the King,2.328767123287671
A Girl Cut in Two,2.3333333333333335
Alice in Wonderland,2.3333333333333335
An Average Little Man,2.3333333333333335
Bicentennial Man,2.3333333333333335
Closed Curtain,2.3333333333333335
Cold War,2.3333333333333335
Decoding Deepak,2.3333333333333335
Deseret,2.3333333333333335
"Divers at Work on the Wreck of the ""Maine""",2.3333333333333335
Gesualdo: Death for Five Voices,2.3333333333333335
Hana and Alice,2.3333333333333335
Interior. Leather Bar.,2.3333333333333335
Kiss of the Tarantula,2.3333333333333335
Man in the Middle,2.3333333333333335
Once Upon a Time Veronica,2.3333333333333335
Secret Smile,2.3333333333333335
Sogni mostruosamente proibiti,2.3333333333333335
Steel Dawn,2.3333333333333335
The Burning Court,2.3333333333333335
The Great Escape,2.3333333333333335
The House of Suh,2.3333333333333335
The Hunger Games: Mockingjay - Part 2,2.3333333333333335
The Joker Is Wild,2.3333333333333335
The Lost Honor of Katharina Blum,2.3333333333333335
The Retrieval,2.3333333333333335
The Scapegoat,2.3333333333333335
Thou Shalt Laugh 2 - The Deuce,2.3333333333333335
Three Colors: White,2.3333333333333335
Valley of the Dragons,2.3333333333333335
Vile,2.3333333333333335
Wanted,2.3333333333333335
Yeast,2.3333333333333335
Cruel Intentions 2,2.3365180467091293
Harvard Beats Yale 29-29,2.3373493975903616
Uncounted,2.3375
The Mummy,2.33810888252149
Pink Flamingos,2.340670859538784
Primal Fear,2.3415934755332497
Operation Kid Brother,2.3448275862068964
Tropic Thunder,2.3448275862068964
Shaun of the Dead,2.344842284739983
Loser Takes All!,2.3461538461538463
Sleepaway Camp III: Teenage Wasteland,2.3461538461538463
The Big Squeeze,2.3461538461538463
"Lust, Caution",2.347972972972973
Assault on Precinct 13,2.3490384615384614
Detention of the Dead,2.35
"Totò, Peppino and... the Sweet Life",2.35
Hardcore,2.351063829787234
Whistling in the Dark,2.3529411764705883
Days of Thunder,2.354181558255897
Billy Elliot,2.354518736223365
Nine Hours to Rama,2.3545454545454545
King Kong,2.3550488599348536
Baby Doll,2.357142857142857
Jubal,2.357142857142857
Mooz-lum,2.357142857142857
The Five People You Meet In Heaven,2.357142857142857
The Road,2.357142857142857
Grande école,2.3609154929577465
Battle for the Planet of the Apes,2.361111111111111
Driving Miss Daisy,2.361111111111111
Cloverfield,2.36144578313253
"The Good, the Bad and the Ugly",2.3625954198473282
Lady Snowblood,2.3632478632478633
The Rocket from Calabuch,2.3636363636363638
Dinner for One,2.3639380530973453
Pirates of the Caribbean: At World's End,2.3693181818181817
Blow,2.3699102829537613
The Hitchhiker's Guide to the Galaxy,2.3745762711864407
The Constant Gardener,2.3747723132969036
A Place in the World,2.375
An Officer and a Gentleman,2.375
Arjun,2.375
Arrowsmith,2.375
G-Men,2.375
Les deux timides,2.375
Sam Peckinpah: Man of Iron,2.375
See Heaven,2.375
Sighs of Spain,2.375
With Byrd at the South Pole,2.375
Zamfir's Zona,2.375
Sliver,2.37887323943662
The Men,2.3791272344900105
Tibet: Cry of the Snow Lion,2.379129129129129
The Horribly Slow Murderer with the Extremely Inefficient Weapon,2.382838283828383
Diva,2.3835616438356166
Blood and Sand,2.384
Grave Decisions,2.3846153846153846
Le party,2.3846153846153846
Mystics in Bali,2.3846153846153846
White Wall,2.3870967741935485
The Man from Planet X,2.3875
Love Before Breakfast,2.388888888888889
Savage Beasts,2.388888888888889
The Sun,2.388888888888889
Tight Spot,2.388888888888889
Black Sheep,2.391304347826087
Transsiberian,2.392638036809816
Battleship Potemkin,2.392857142857143
Ana and the Others,2.3937728937728937
Alfie,2.3943661971830985
Big Pun: The Legacy,2.3943661971830985
The Big One,2.3947368421052633
Angel Eyes,2.3970588235294117
Dark Harbor,2.4
Little Voice,2.4
Minuscule: Valley of the Lost Ants,2.4
Palermo Shooting,2.4
Rolling Family,2.4
The Loft,2.4
The Substitute,2.4
Angel Baby,2.400621118012422
Talk to Me,2.4008415660446394
8 Mile,2.4033402561439945
Saint Seiya Heaven Chapter: Overture,2.4038461538461537
Vares - The Girls of April,2.405383360522023
East of Eden,2.407166123778502
Indiana Jones and the Temple of Doom,2.4075937785910337
Amal,2.409090909090909
To Find a Man,2.411764705882353
Kismet,2.4130434782608696
Underground: The Julian Assange Story,2.4130434782608696
Dirty Girl,2.4146341463414633
Space Cowboys,2.4146341463414633
Good Deeds,2.4166666666666665
Meeting Evil,2.4166666666666665
Mortal Transfer,2.4166666666666665
Promise Me This,2.4166666666666665
Shocking Asia,2.4166666666666665
Tactical Force,2.4166666666666665
The Mind of Mr. Soames,2.4166666666666665
Monty Python and the Holy Grail,2.4176879617557585
Secret Agent Super Dragon,2.4183381088825215
