university_year,total_score
University of Goettingen 2010,24.9
University of Groningen 2013,24.9
University of Strasbourg 2015,24.9
Weizmann Institute of Science 2013,24.9
McMaster University 2007,25.0
McMaster University 2012,25.0
Rice University 2007,25.0
The University of Western Australia 2013,25.0
Tokyo Institute of Technology 2006,25.0
University of Goettingen 2007,25.0
University of Sydney 2010,25.0
University of Utah 2014,25.0
Ghent University 2010,25.1
Indiana University Bloomington 2010,25.1
McMaster University 2008,25.1
Michigan State University 2011,25.1
Rice University 2012,25.1
Texas A&M University - College Station 2005,25.1
Texas A&M University - College Station 2006,25.1
Indiana University Bloomington 2005,25.2
McMaster University 2010,25.2
Stockholm University 2009,25.2
Texas A&M University - College Station 2008,25.2
Texas A&M University - College Station 2009,25.2
The University of Sheffield 2010,25.2
University of Basel 2005,25.2
Case Western Reserve University 2009,25.3
Ghent University 2011,25.3
McMaster University 2011,25.3
Moscow State University 2015,25.3
Rice University 2006,25.3
Stockholm University 2007,25.3
The University of Queensland 2012,25.3
University of Basel 2011,25.3
Aarhus University 2011,25.4
Brown University 2005,25.4
Brown University 2006,25.4
Ghent University 2012,25.4
The University of Queensland 2011,25.4
University of Arizona 2014,25.4
University of Basel 2008,25.4
University of Goettingen 2006,25.4
University of Goettingen 2011,25.4
University of Rochester 2013,25.4
Aarhus University 2012,25.5
Boston University 2007,25.5
Ecole Normale Superieure - Paris 2007,25.5
Ghent University 2013,25.5
Indiana University Bloomington 2013,25.5
King's College London 2007,25.5
Michigan State University 2009,25.5
Michigan State University 2010,25.5
Osaka University 2013,25.5
Stockholm University 2008,25.5
The University of Queensland 2013,25.5
University of Basel 2010,25.5
University of Nottingham 2012,25.5
University of Rochester 2012,25.5
University of Utah 2013,25.5
Boston University 2008,25.6
Case Western Reserve University 2008,25.6
Michigan State University 2008,25.6
Stockholm University 2006,25.6
University of Basel 2009,25.6
University of Basel 2012,25.6
University of Basel 2013,25.6
University of Nottingham 2013,25.6
University of Vienna 2005,25.6
Indiana University Bloomington 2012,25.7
Osaka University 2015,25.7
The University of Queensland 2014,25.7
Tohoku University 2010,25.7
University of Nottingham 2010,25.7
University of Nottingham 2011,25.7
King's College London 2006,25.8
Stockholm University 2013,25.8
Tohoku University 2009,25.8
University of Goettingen 2005,25.8
University of Rochester 2010,25.8
University of Rochester 2011,25.8
University of Utah 2010,25.8
Boston University 2006,25.9
Indiana University Bloomington 2011,25.9
Osaka University 2011,25.9
Osaka University 2012,25.9
University of Basel 2006,25.9
University of Basel 2007,25.9
University of Nottingham 2005,25.9
University of Nottingham 2009,25.9
Aarhus University 2013,26.0
Nagoya University 2009,26.0
Rice University 2015,26.0
University of Melbourne 2005,26.0
University of Nottingham 2007,26.0
University of Utah 2012,26.0
Arizona State University - Tempe 2010,26.1
Arizona State University - Tempe 2013,26.1
Boston University 2005,26.1
King's College London 2005,26.1
Michigan State University 2006,26.1
Michigan State University 2007,26.1
Moscow State University 2013,26.1
Moscow State University 2014,26.1
Stockholm University 2011,26.1
Stockholm University 2012,26.1
Rice University 2005,26.2
The Hebrew University of Jerusalem 2005,26.2
University of Florida 2015,26.2
University of Nottingham 2006,26.2
Moscow State University 2012,26.3
The University of Sheffield 2009,26.3
Nagoya University 2010,26.4
Stockholm University 2010,26.4
University of Arizona 2011,26.4
Leiden University 2015,26.5
University of Arizona 2013,26.5
University of Nottingham 2008,26.5
University of Utah 2011,26.5
Arizona State University - Tempe 2012,26.6
Technion-Israel Institute of Technology 2013,26.6
University of Melbourne 2007,26.6
University of Utah 2009,26.6
Arizona State University - Tempe 2011,26.7
Nagoya University 2015,26.7
Rice University 2014,26.7
Stockholm University 2015,26.7
Technion-Israel Institute of Technology 2015,26.7
The Australian National University 2015,26.7
The University of Queensland 2015,26.7
University of Groningen 2014,26.7
University of Melbourne 2006,26.7
Case Western Reserve University 2007,26.8
King's College London 2008,26.8
Osaka University 2014,26.8
Stockholm University 2014,26.8
Technion-Israel Institute of Technology 2014,26.8
University of Arizona 2010,26.8
University of Florida 2014,26.8
Michigan State University 2005,26.9
Moscow State University 2009,26.9
Moscow State University 2011,26.9
Technion-Israel Institute of Technology 2012,26.9
University of Arizona 2009,26.9
University of Rochester 2009,26.9
Brown University 2015,27.0
University of Groningen 2015,27.0
Moscow State University 2007,27.1
Tohoku University 2007,27.1
Tohoku University 2008,27.1
University of Utah 2008,27.1
Uppsala University 2009,27.1
Tohoku University 2006,27.2
University of Arizona 2006,27.2
University of Helsinki 2013,27.2
University of Melbourne 2009,27.2
Aarhus University 2015,27.3
Boston University 2009,27.3
Boston University 2010,27.3
Boston University 2015,27.3
Leiden University 2014,27.3
Aarhus University 2014,27.4
Boston University 2013,27.4
Brown University 2014,27.4
The Australian National University 2014,27.4
University of Arizona 2012,27.4
University of Helsinki 2005,27.4
University of Rochester 2007,27.4
The University of Sheffield 2008,27.5
University of Arizona 2008,27.5
University of Helsinki 2014,27.5
Ecole Normale Superieure - Paris 2012,27.6
Ecole Normale Superieure - Paris 2015,27.6
Leiden University 2008,27.6
Leiden University 2012,27.6
University of Arizona 2007,27.6
University of Helsinki 2006,27.6
University of Helsinki 2012,27.6
University of Rochester 2006,27.6
Uppsala University 2012,27.6
Boston University 2011,27.7
Ecole Normale Superieure - Paris 2008,27.7
Leiden University 2009,27.7
Osaka University 2010,27.7
Purdue University - West Lafayette 2005,27.7
Purdue University - West Lafayette 2006,27.7
University of Helsinki 2009,27.7
University of Melbourne 2008,27.7
University of Oslo 2010,27.7
University of Rochester 2008,27.7
Boston University 2014,27.8
Ghent University 2015,27.8
Leiden University 2006,27.8
Leiden University 2013,27.8
Osaka University 2009,27.8
Tohoku University 2005,27.8
University of Arizona 2005,27.8
University of Helsinki 2007,27.8
Brown University 2008,27.9
Case Western Reserve University 2006,27.9
Leiden University 2005,27.9
Moscow State University 2006,27.9
Moscow State University 2010,27.9
The University of Sheffield 2007,27.9
University of Florida 2012,27.9
University of Oslo 2011,27.9
Uppsala University 2008,27.9
Boston University 2012,28.0
Ghent University 2014,28.0
Leiden University 2007,28.0
The Hebrew University of Jerusalem 2014,28.0
University of Heidelberg 2005,28.0
University of Helsinki 2011,28.0
Uppsala University 2013,28.0
Brown University 2007,28.1
Ecole Normale Superieure - Paris 2009,28.1
Moscow State University 2008,28.1
The Hebrew University of Jerusalem 2010,28.1
University of Geneva 2011,28.1
University of Helsinki 2010,28.1
University of Oslo 2014,28.1
"University of Pittsburgh, Pittsburgh Campus 2015",28.1
The Hebrew University of Jerusalem 2015,28.2
The Ohio State University - Columbus 2015,28.2
University of Helsinki 2015,28.2
University of Oslo 2007,28.2
Case Western Reserve University 2005,28.3
Ecole Normale Superieure - Paris 2010,28.3
Ecole Normale Superieure - Paris 2014,28.3
McGill University 2014,28.3
Osaka University 2008,28.3
Purdue University - West Lafayette 2007,28.3
University of Bristol 2015,28.3
University of Helsinki 2008,28.3
University of Oslo 2005,28.3
Brown University 2009,28.4
Leiden University 2010,28.4
McGill University 2005,28.4
Moscow State University 2005,28.4
University of Bristol 2012,28.4
University of Florida 2011,28.4
University of Heidelberg 2008,28.4
Ecole Normale Superieure - Paris 2013,28.5
King's College London 2009,28.5
McGill University 2009,28.5
McGill University 2015,28.5
Purdue University - West Lafayette 2009,28.5
"Rutgers, The State University of New Jersey - New Brunswick 2015",28.5
The University of Sheffield 2006,28.5
University of Florida 2013,28.5
University of Geneva 2012,28.5
University of Geneva 2014,28.5
University of Oslo 2009,28.5
King's College London 2012,28.6
Osaka University 2007,28.6
Purdue University - West Lafayette 2010,28.6
The Australian National University 2011,28.6
The Hebrew University of Jerusalem 2009,28.6
The University of Sheffield 2005,28.6
University of Bristol 2011,28.6
University of Oslo 2006,28.6
University of Pittsburgh-Pittsburgh Campus 2014,28.6
University of Rochester 2005,28.6
Ecole Normale Superieure - Paris 2011,28.7
The Ohio State University - Columbus 2014,28.7
University of Geneva 2013,28.7
University of Heidelberg 2009,28.7
University of Oslo 2013,28.7
Brown University 2013,28.8
King's College London 2013,28.8
Purdue University - West Lafayette 2008,28.8
The Hebrew University of Jerusalem 2008,28.8
University of Bristol 2005,28.8
University of Florida 2010,28.8
Uppsala University 2007,28.8
King's College London 2011,28.9
The Australian National University 2013,28.9
University of Bristol 2010,28.9
University of Bristol 2014,28.9
University of Heidelberg 2007,28.9
University of Oslo 2012,28.9
Uppsala University 2010,28.9
Brown University 2010,29.0
Brown University 2012,29.0
The Hebrew University of Jerusalem 2007,29.0
The Ohio State University - Columbus 2006,29.0
The Ohio State University - Columbus 2012,29.0
The Ohio State University - Columbus 2013,29.0
University of Heidelberg 2006,29.0
University of Oslo 2008,29.0
Uppsala University 2011,29.0
King's College London 2010,29.1
The Australian National University 2012,29.1
The Ohio State University - Columbus 2009,29.1
University of Heidelberg 2010,29.1
Brown University 2011,29.2
Carnegie Mellon University 2015,29.2
Leiden University 2011,29.2
Purdue University - West Lafayette 2015,29.2
The Ohio State University - Columbus 2005,29.2
University of Bristol 2013,29.2
Uppsala University 2015,29.2
Carnegie Mellon University 2008,29.3
McGill University 2007,29.3
McGill University 2012,29.3
Osaka University 2005,29.3
Pennsylvania State University - University Park 2015,29.3
The Ohio State University - Columbus 2008,29.3
University of Melbourne 2010,29.3
Uppsala University 2006,29.3
Carnegie Mellon University 2014,29.4
McGill University 2011,29.4
University of Bristol 2007,29.4
University of Geneva 2015,29.4
University of Oslo 2015,29.4
University of Paris Sud (Paris 11) 2005,29.4
University of Paris Sud (Paris 11) 2006,29.4
McGill University 2006,29.5
McGill University 2010,29.5
Purdue University - West Lafayette 2014,29.5
"Rutgers, The State University of New Jersey - New Brunswick 2013",29.5
The Ohio State University - Columbus 2007,29.5
The Ohio State University - Columbus 2011,29.5
University of Bristol 2006,29.5
University of Bristol 2008,29.5
University of Bristol 2009,29.5
University of Heidelberg 2012,29.5
University of Munich 2013,29.5
University of Pittsburgh 2013,29.5
Uppsala University 2014,29.5
Carnegie Mellon University 2009,29.6
Osaka University 2006,29.6
"Rutgers, The State University of New Jersey - New Brunswick 2012",29.6
The Australian National University 2009,29.6
The Australian National University 2010,29.6
The Ohio State University - Columbus 2010,29.6
University of Heidelberg 2011,29.6
King's College London 2014,29.7
"University of California, Davis 2015",29.7
University of Munich 2012,29.7
University of Zurich 2013,29.7
The Hebrew University of Jerusalem 2013,29.8
University of Florida 2009,29.8
Utrecht University 2015,29.8
McGill University 2008,29.9
McGill University 2013,29.9
Purdue University - West Lafayette 2011,29.9
University of Zurich 2012,29.9
Uppsala University 2005,29.9
Carnegie Mellon University 2007,30.0
King's College London 2015,30.0
Pennsylvania State University - University Park 2014,30.0
The Australian National University 2008,30.0
The Hebrew University of Jerusalem 2006,30.0
University of Copenhagen 2005,30.0
University of Florida 2005,30.0
University of Melbourne 2011,30.0
University of Pittsburgh 2012,30.0
University of Zurich 2005,30.0
Purdue University - West Lafayette 2013,30.1
"Rutgers, The State University of New Jersey - New Brunswick 2011",30.1
University of Melbourne 2012,30.1
University of Zurich 2015,30.1
Carnegie Mellon University 2010,30.2
Pennsylvania State University - University Park 2013,30.2
Purdue University - West Lafayette 2012,30.2
Technical University Munich 2009,30.2
The Australian National University 2005,30.2
University of Heidelberg 2013,30.2
University of Melbourne 2013,30.2
University of North Carolina at Chapel Hill 2007,30.2
University of Zurich 2007,30.2
Utrecht University 2014,30.2
Vanderbilt University 2015,30.2
The Hebrew University of Jerusalem 2011,30.3
University of Munich 2015,30.3
University of North Carolina at Chapel Hill 2005,30.3
University of North Carolina at Chapel Hill 2006,30.3
University of Pittsburgh 2011,30.3
University of Zurich 2014,30.3
Carnegie Mellon University 2013,30.4
"Rutgers, The State University of New Jersey - New Brunswick 2009",30.4
The Australian National University 2007,30.4
"University of California, Davis 2014",30.4
University of Florida 2008,30.4
University of Munich 2009,30.4
University of Zurich 2006,30.4
Utrecht University 2013,30.4
Carnegie Mellon University 2006,30.5
Technical University Munich 2008,30.5
Technical University Munich 2012,30.5
Technical University Munich 2015,30.5
The Hebrew University of Jerusalem 2012,30.5
The University of Edinburgh 2013,30.5
University of Copenhagen 2006,30.5
University of Zurich 2011,30.5
Utrecht University 2012,30.5
Carnegie Mellon University 2011,30.6
Carnegie Mellon University 2012,30.6
Technical University Munich 2007,30.6
Technical University Munich 2013,30.6
The University of Edinburgh 2012,30.6
Vanderbilt University 2014,30.6
Technical University Munich 2010,30.7
Technical University Munich 2014,30.7
University of Pittsburgh 2010,30.7
Carnegie Mellon University 2005,30.8
Karolinska Institute 2007,30.8
Technical University Munich 2006,30.8
The Australian National University 2006,30.8
The University of Edinburgh 2007,30.8
The University of Edinburgh 2008,30.8
University of Munich 2007,30.8
University of Munich 2008,30.8
"Rutgers, The State University of New Jersey - New Brunswick 2014",30.9
"Rutgers, The State University of New Jersey 2008",30.9
"Rutgers, The State University of New Jersey 2010",30.9
The University of Edinburgh 2010,30.9
University of Munich 2011,30.9
University of Paris Sud (Paris 11) 2007,30.9
University of Zurich 2009,30.9
The University of Edinburgh 2009,31.0
"University of California, Irvine 2015",31.0
University of Florida 2006,31.0
University of Southern California 2014,31.0
University of Zurich 2008,31.0
Vanderbilt University 2010,31.0
Vanderbilt University 2013,31.0
Heidelberg University 2014,31.1
University of Florida 2007,31.1
University of Munich 2010,31.1
University of Munich 2014,31.1
The University of Edinburgh 2011,31.2
The University of Manchester 2005,31.2
University of Zurich 2010,31.2
Technical University Munich 2005,31.3
"University of California, Davis 2013",31.3
University of Pittsburgh 2008,31.3
University of Southern California 2013,31.3
University of Southern California 2015,31.3
Vanderbilt University 2011,31.3
The University of Edinburgh 2006,31.4
The University of Texas Southwestern Medical Center at Dallas 2013,31.4
University of Munich 2005,31.4
University of Southern California 2007,31.4
Vanderbilt University 2012,31.4
Pennsylvania State University - University Park 2012,31.5
University of Munich 2006,31.5
Utrecht University 2009,31.5
Karolinska Institute 2008,31.6
The University of Texas Southwestern Medical Center at Dallas 2011,31.6
The University of Texas Southwestern Medical Center at Dallas 2012,31.6
Karolinska Institute 2009,31.7
The University of Manchester 2006,31.7
"University of California, Davis 2011",31.7
"University of California, Irvine 2011",31.7
University of Pittsburgh 2009,31.7
University of Southern California 2005,31.7
Utrecht University 2010,31.7
Utrecht University 2011,31.7
Technical University Munich 2011,31.8
The University of Edinburgh 2005,31.8
The University of Texas Southwestern Medical Center at Dallas 2010,31.8
"University of California, Davis 2009",31.8
"University of California, Davis 2012",31.8
"University of California, Irvine 2005",31.8
"University of Maryland, College Park 2005",31.8
Karolinska Institute 2006,31.9
Karolinska Institute 2014,31.9
Karolinska Institute 2015,31.9
"University of California, Irvine 2014",31.9
University of Pittsburgh 2006,31.9
University of Pittsburgh 2007,31.9
University of Southern California 2012,31.9
Pierre and Marie  Curie University - Paris 6 2005,32.0
The University of Edinburgh 2015,32.0
The University of Manchester 2007,32.0
"University of California, Davis 2010",32.0
"University of California, Irvine 2010",32.0
University of Southern California 2006,32.0
University of Southern California 2008,32.0
University of Southern California 2010,32.0
University of Southern California 2011,32.0
Karolinska Institute 2005,32.1
Pennsylvania State University - University Park 2011,32.1
"Rutgers, The State University of New Jersey 2007",32.1
University of Paris Sud (Paris 11) 2008,32.1
Heidelberg University 2015,32.2
The University of Texas Southwestern Medical Center at Dallas 2009,32.2
"University of California, Davis 2008",32.2
"University of California, Irvine 2012",32.2
University of Copenhagen 2007,32.2
"Rutgers, The State University of New Jersey - New Brunswick 2005",32.3
"Rutgers, The State University of New Jersey - New Brunswick 2006",32.3
The University of Melbourne 2015,32.3
The University of Texas Southwestern Medical Center at Dallas 2015,32.3
University of Paris Sud (Paris 11) 2010,32.3
University of Pittsburgh 2005,32.3
Pierre and Marie  Curie University - Paris 6 2006,32.4
The University of Manchester 2010,32.4
"University of California, Irvine 2009",32.4
"University of California, Irvine 2013",32.4
University of Southern California 2009,32.4
Utrecht University 2008,32.4
Pennsylvania State University - University Park 2009,32.5
The University of Edinburgh 2014,32.5
The University of Texas Southwestern Medical Center at Dallas 2014,32.5
"University of California, Irvine 2007",32.5
Pennsylvania State University - University Park 2010,32.6
The University of Melbourne 2014,32.6
"University of California, Irvine 2006",32.6
Karolinska Institute 2013,32.7
Pennsylvania State University - University Park 2006,32.7
Pennsylvania State University - University Park 2007,32.7
"University of California, Davis 2006",32.7
"University of California, Davis 2007",32.7
University of Copenhagen 2009,32.7
"University of Maryland, College Park 2014",32.7
University of Paris Sud (Paris 11) 2009,32.7
"University of California, Irvine 2008",32.8
"University of Maryland, College Park 2015",32.8
"University of California, Davis 2005",32.9
Utrecht University 2005,32.9
The University of Manchester 2009,33.0
University of Copenhagen 2008,33.0
Vanderbilt University 2009,33.0
Pennsylvania State University - University Park 2008,33.1
Pierre and Marie  Curie University - Paris 6 2008,33.1
University of Copenhagen 2012,33.1
Vanderbilt University 2008,33.1
Karolinska Institute 2010,33.2
Vanderbilt University 2006,33.2
Pierre and Marie  Curie University - Paris 6 2009,33.3
The University of Texas Southwestern Medical Center at Dallas 2008,33.3
University of North Carolina at Chapel Hill 2010,33.3
Karolinska Institute 2012,33.4
Pennsylvania State University - University Park 2005,33.4
Pierre and Marie  Curie University - Paris 6 2012,33.4
University of Copenhagen 2010,33.4
University of North Carolina at Chapel Hill 2009,33.4
Utrecht University 2006,33.4
Vanderbilt University 2005,33.4
Karolinska Institute 2011,33.5
University of North Carolina at Chapel Hill 2012,33.5
Utrecht University 2007,33.5
The University of Manchester 2008,33.6
The University of Manchester 2015,33.6
University of Paris-Sud (Paris 11) 2015,33.6
Vanderbilt University 2007,33.6
The University of Texas at Austin 2008,33.7
University of Copenhagen 2011,33.7
University of North Carolina at Chapel Hill 2013,33.7
Pierre and Marie  Curie University - Paris 6 2007,33.8
The University of Texas Southwestern Medical Center at Dallas 2007,33.8
University of Copenhagen 2013,33.8
The University of Manchester 2012,33.9
University of North Carolina at Chapel Hill 2008,33.9
The University of Manchester 2013,34.0
The University of Texas at Austin 2009,34.0
University of North Carolina at Chapel Hill 2011,34.0
University of British Columbia 2015,34.1
"University of Maryland, College Park 2009",34.1
Pierre and Marie  Curie University - Paris 6 2010,34.2
University of British Columbia 2013,34.2
University of Paris Sud (Paris 11) 2014,34.2
Pierre and Marie  Curie University - Paris 6 2011,34.3
"University of California, Santa Barbara 2014",34.3
The University of Texas at Austin 2007,34.4
University of British Columbia 2009,34.4
University of North Carolina at Chapel Hill 2015,34.4
The University of Texas at Austin 2010,34.5
The University of Texas at Austin 2014,34.5
University of Copenhagen 2014,34.5
University of Paris Sud (Paris 11) 2013,34.5
University of British Columbia 2012,34.6
"University of California, Santa Barbara 2015",34.6
"University of Maryland, College Park 2008",34.6
University of Paris Sud (Paris 11) 2011,34.6
The University of Manchester 2014,34.7
University of British Columbia 2010,34.7
"University of Maryland, College Park 2010",34.7
"University of Maryland, College Park 2012",34.7
"University of Maryland, College Park 2013",34.7
The University of Manchester 2011,34.8
The University of Texas Southwestern Medical Center at Dallas 2005,34.8
The University of Texas at Austin 2015,34.8
"University of Maryland, College Park 2011",34.8
The University of Texas at Austin 2006,34.9
University of British Columbia 2011,34.9
University of Paris Sud (Paris 11) 2012,34.9
Pierre and Marie  Curie University - Paris 6 2015,35.0
"University of California, Santa Barbara 2009",35.0
"University of Maryland, College Park 2007",35.0
Duke University 2011,35.1
The University of Texas at Austin 2011,35.1
University of British Columbia 2014,35.1
Duke University 2012,35.2
The University of Texas Southwestern Medical Center at Dallas 2006,35.2
University of North Carolina at Chapel Hill 2014,35.2
Duke University 2010,35.3
Pierre and Marie  Curie University - Paris 6 2013,35.3
Pierre and Marie  Curie University - Paris 6 2014,35.4
The University of Texas at Austin 2013,35.4
University of British Columbia 2005,35.4
University of British Columbia 2007,35.4
"University of Maryland, College Park 2006",35.4
The University of Texas at Austin 2005,35.5
University of British Columbia 2006,35.5
"University of California, Santa Barbara 2008",35.5
University of Copenhagen 2015,35.7
The University of Texas at Austin 2012,35.8
"University of California, Santa Barbara 2007",35.8
"University of California, Santa Barbara 2013",35.9
University of Colorado at Boulder 2015,36.0
"University of California, Santa Barbara 2006",36.1
University of British Columbia 2008,36.3
University of Colorado at Boulder 2005,36.3
University of Colorado at Boulder 2006,36.4
University of Colorado at Boulder 2008,36.4
University of Colorado at Boulder 2009,36.4
Rockefeller University 2015,36.5
"University of California, Santa Barbara 2012",36.5
University of Colorado at Boulder 2007,36.6
University of Colorado at Boulder 2012,36.6
Rockefeller University 2010,36.7
New York University 2009,36.9
Rockefeller University 2009,36.9
"University of California, Santa Barbara 2005",36.9
Rockefeller University 2012,37.0
"University of Minnesota, Twin Cities 2007",37.0
Duke University 2009,37.1
Rockefeller University 2011,37.1
Rockefeller University 2013,37.1
"University of California, Santa Barbara 2010",37.1
"University of California, Santa Barbara 2011",37.1
University of Colorado at Boulder 2010,37.1
Duke University 2008,37.2
Rockefeller University 2008,37.2
University of Colorado at Boulder 2011,37.2
University of Colorado at Boulder 2014,37.2
University of Colorado at Boulder 2013,37.3
Duke University 2007,37.4
New York University 2008,37.4
Washington University in St. Louis 2015,37.4
Washington University in St. Louis 2013,37.5
Northwestern University 2006,37.6
Rockefeller University 2014,37.6
Washington University in St. Louis 2012,37.6
Duke University 2005,37.7
"University of Minnesota, Twin Cities 2005",37.7
New York University 2010,37.8
"University of Minnesota, Twin Cities 2006",37.8
Washington University in St. Louis 2014,37.8
Northwestern University 2005,37.9
Duke University 2015,38.0
New York University 2007,38.0
Rockefeller University 2007,38.0
Duke University 2013,38.1
Northwestern University 2008,38.1
Washington University in St. Louis 2010,38.1
Washington University in St. Louis 2011,38.1
Duke University 2006,38.2
Northwestern University 2007,38.2
Rockefeller University 2005,38.2
Rockefeller University 2006,38.3
Duke University 2014,38.4
New York University 2006,38.4
Northwestern University 2010,38.4
"University of Minnesota, Twin Cities 2015",38.5
University of Illinois at Urbana-Champaign 2015,38.6
Northwestern University 2009,38.7
Northwestern University 2011,38.7
New York University 2005,38.8
New York University 2011,38.8
New York University 2015,38.8
Northwestern University 2012,38.8
Northwestern University 2015,38.8
Kyoto University 2015,38.9
Northwestern University 2013,38.9
"University of Minnesota, Twin Cities 2014",39.3
Northwestern University 2014,39.4
University of Illinois at Urbana-Champaign 2014,39.4
Washington University in St. Louis 2009,39.5
New York University 2014,39.6
"University of Minnesota, Twin Cities 2012",39.7
"University of Minnesota, Twin Cities 2013",39.7
Washington University in St. Louis 2007,39.7
Kyoto University 2014,39.9
Swiss Federal Institute of Technology Zurich 2007,39.9
Washington University in St. Louis 2008,40.1
University of Toronto 2013,40.3
"University of Minnesota, Twin Cities 2008",40.4
"University of Minnesota, Twin Cities 2009",40.4
Washington University in St. Louis 2006,40.4
New York University 2013,40.5
University of Toronto 2009,40.5
"University of Minnesota, Twin Cities 2010",40.6
University of Toronto 2015,40.6
Washington University in St. Louis 2005,40.7
Kyoto University 2013,40.8
New York University 2012,40.8
"University of Minnesota, Twin Cities 2011",40.8
University of Toronto 2012,40.8
University of Illinois at Urbana-Champaign 2013,41.1
University of Wisconsin - Madison 2015,41.1
Kyoto University 2011,41.2
Swiss Federal Institute of Technology Zurich 2006,41.2
Kyoto University 2012,41.3
"The Imperial College of Science, Technology and Medicine 2015",41.5
"The Imperial College of Science, Technology and Medicine 2013",41.6
Swiss Federal Institute of Technology Zurich 2005,41.7
University of Michigan-Ann Arbor 2015,41.7
University of Toronto 2010,41.8
University of Toronto 2014,41.8
University of Wisconsin - Madison 2014,41.8
"The Imperial College of Science, Technology and Medicine 2009",41.9
"The Imperial College of Science, Technology and Medicine 2010",41.9
University of Illinois at Urbana-Champaign 2012,41.9
University of Toronto 2011,41.9
The University of Tokyo 2015,42.0
University College London 2006,42.2
"The Imperial College of Science, Technology and Medicine 2014",42.3
University of Michigan-Ann Arbor 2014,42.3
"The Imperial College of Science, Technology and Medicine 2008",42.4
"The Imperial College of Science, Technology and Medicine 2012",42.4
University of Illinois at Urbana-Champaign 2009,42.4
University of Illinois at Urbana-Champaign 2006,42.5
University of Illinois at Urbana-Champaign 2011,42.5
"The Imperial College of Science, Technology and Medicine 2011",42.6
University College London 2005,42.6
University of Illinois at Urbana-Champaign 2010,42.6
University of Michigan - Ann Arbor 2013,42.6
Kyoto University 2009,42.7
University of Illinois at Urbana-Champaign 2007,42.7
University College London 2007,42.8
University of Illinois at Urbana-Champaign 2005,42.8
University of Toronto 2006,42.8
